,predicates,count
0,riding,4507
1,at,2109
2,with,2000
3,wears,2000
4,wearing,2000
5,under,2000
6,standing on,2000
7,sitting on,2000
8,on,2000
9,of,2000
10,near,2000
11,in front of,2000
12,in,2000
13,holding,2000
14,has,2000
15,behind,2000
16,above,2000
17,carrying,1705
18,attached to,1586
19,walking on,1322
20,over,1277
21,for,1116
22,looking at,1026
23,watching,907
24,hanging from,807
25,laying on,779
26,eating,702
27,and,679
28,belonging to,652
29,parked on,641
30,using,580
31,covering,512
32,between,511
33,along,493
34,covered in,485
35,part of,435
36,lying on,369
37,on back of,343
38,to,327
39,walking in,289
40,mounted on,265
41,across,263
42,against,224
43,from,198
44,growing on,172
45,painted on,153
46,playing,134
47,made of,128
48,says,49
49,flying in,5
