,Predicates,Transformer,Transformer (BPL),Transformer (BPL+SA)
0,on,0.8191638116106108,0.48114300295555373,0.3612666821704975
1,has,0.8155058548116408,0.7682402774543368,0.6825563722876982
2,in,0.38609830943780826,0.38682070981344296,0.36814809398812304
3,of,0.6364966101996625,0.7717026754997431,0.732095744427585
4,wearing,0.9747727290488767,0.8732566592759226,0.6803174232166792
5,near,0.42031254743057783,0.32963382662875784,0.24945514967238352
6,with,0.0808329411429142,0.1493359914518944,0.28561632038720985
7,above,0.08784292821606254,0.2162390428808339,0.28113065624259653
8,holding,0.7411383685616815,0.6786429129834038,0.6158031363092713
9,behind,0.5877746436028305,0.6302552430107965,0.5706895586465132
10,under,0.2927420332000485,0.43837392463346664,0.48876166242578456
11,sitting on,0.302101445018797,0.44768787202380944,0.45564360119047614
12,wears,0.0,0.09487362950818101,0.2901196049244222
13,standing on,0.02073484287580032,0.4201654469939044,0.43717232826275376
14,in front of,0.08127615062761506,0.25940675433353255,0.37916168559473995
15,attached to,0.005797955974842767,0.15849269310354216,0.268026372212693
16,at,0.3450668218202334,0.632302166608736,0.6324875448963041
17,hanging from,0.042496679946879154,0.28189061934081855,0.33607388627308943
18,over,0.1075268817204301,0.25347985347985347,0.3412442396313363
19,for,0.04549180327868852,0.21593969555035128,0.23464090554254485
20,riding,0.3646083398575093,0.8581474450245214,0.9206705162685228
21,carrying,0.313203211517165,0.624734219269103,0.6697342192691029
22,eating,0.3392935982339956,0.7068432671081678,0.6637969094922738
23,walking on,0.1316460274905315,0.7039022937146261,0.7530533214179328
24,playing,0.0,0.09469696969696968,0.056818181818181816
25,covering,0.012903225806451613,0.4156938044034818,0.4717562724014337
26,laying on,0.0045045045045045045,0.3704954954954955,0.43355855855855857
27,along,0.0,0.20642201834862386,0.35091743119266056
28,watching,0.2459390827037886,0.4209595959595959,0.5079846079846079
29,and,0.005917159763313609,0.11439842209072977,0.2485207100591716
30,between,0.003472222222222222,0.08912037037037036,0.1412037037037037
31,belonging to,0.0,0.020143312101910827,0.08579895864927713
32,painted on,0.0,0.034482758620689655,0.08045977011494251
33,against,0.0,0.08870967741935484,0.056451612903225805
34,looking at,0.05789825970548862,0.15327978580990628,0.22326448651749856
35,from,0.014084507042253521,0.1455399061032864,0.11830985915492959
36,parked on,0.0056179775280898875,0.7611423220973782,0.918305243445693
37,to,0.0,0.21311475409836064,0.27459016393442626
38,made of,0.0,0.125,0.09375
39,covered in,0.17976190476190473,0.5692857142857143,0.5800000000000001
40,mounted on,0.0,0.0,0.0
41,says,0.0,0.08333333333333333,0.08333333333333333
42,part of,0.0,0.0,0.0
43,across,0.0,0.11904761904761904,0.1349206349206349
44,flying in,0.0,0.0,0.0
45,using,0.27166666666666667,0.3129545454545455,0.3156060606060606
46,on back of,0.0,0.03546099290780142,0.06028368794326241
47,lying on,0.0,0.01391465677179963,0.01855287569573284
48,growing on,0.0,0.08045977011494251,0.13304597701149423
49,walking in,0.0,0.007042253521126761,0.007042253521126761
