,Predicates,Transformer,Transformer+BLRU,Transformer+BLRA,Transformer+BLRA+SACM,Transformer+BLRA+SABG
0,on,0.6957130089763917,0.3632456130708694,0.2729499609521165,0.18912365636389175,0.18385527155368336
1,has,0.6693649690517566,0.617194097472558,0.29764921653183757,0.21485661558315658,0.26567835185681443
2,in,0.2990549816585329,0.3028270971292459,0.25885152517097676,0.23663493527095097,0.21901835547123602
3,of,0.5141702605271921,0.6459595524524543,0.5844323949241093,0.4968608753896108,0.4306657619785094
4,wearing,0.9282726939497804,0.8027660773448835,0.36242283800465447,0.0950756588705734,0.3714886771613028
5,near,0.2070455351230152,0.17512052741958606,0.15910400378177353,0.12106062870002043,0.09877219489819056
6,with,0.02861385644404512,0.08824534006474706,0.29789847518958035,0.3322921488015827,0.2367716764617034
7,above,0.054758351101634684,0.16918058516939113,0.19300714832431254,0.22205340057951997,0.11979675796839975
8,holding,0.5869940778376361,0.5645505647499512,0.4237733846476178,0.3545162943169078,0.3233813249917544
9,behind,0.330956285395865,0.4072784372968722,0.38492956705833464,0.33623509298640647,0.31917330541765976
10,under,0.15902702047740214,0.3027646512379337,0.40196426888538844,0.38668295703919114,0.27825841108283855
11,sitting on,0.24528689888784458,0.4040559895833333,0.43034877232142854,0.4170600818452382,0.3748911830357143
12,wears,0.0,0.09433969500414684,0.4567376721654131,0.7461416790112804,0.34165435201564776
13,standing on,0.010618149580915538,0.34142426353197636,0.3971058861351415,0.4516643448159405,0.4689996395448523
14,in front of,0.031642259414225944,0.14956415620641564,0.2744645347678821,0.3175259015740187,0.18038702928870293
15,attached to,0.0047169811320754715,0.11966183056984943,0.18524769255901333,0.2868146593972066,0.33657625786163525
16,at,0.1624001954531945,0.5107052182980459,0.6047035962380298,0.5647516787313678,0.632082029892249
17,hanging from,0.02390438247011952,0.2198871181938911,0.3068000724375226,0.3140438247011952,0.4000332005312085
18,over,0.02729528535980149,0.13346331088266572,0.1978612785064398,0.2445054945054945,0.32751388396549685
19,for,0.028688524590163935,0.14470628415300546,0.1973507025761124,0.24201795472287274,0.2999072989851678
20,riding,0.3260301713790085,0.8086432147893942,0.9086607928800619,0.8945658008780931,0.8604774885505784
21,carrying,0.24862956810631226,0.5759745293466223,0.662469545957918,0.6837264673311185,0.7482834994462902
22,eating,0.16048565121412803,0.59939293598234,0.6721854304635762,0.6607064017660045,0.7103752759381899
23,walking on,0.08020554066130474,0.6173901017064556,0.6766053874632962,0.6574662751606452,0.6968317800757479
24,playing,0.0,0.03409090909090909,0.03409090909090909,0.022727272727272728,0.0
25,covering,0.0,0.24827956989247313,0.28419354838709676,0.3347311827956989,0.33949308755760366
26,laying on,0.0045045045045045045,0.3307057057057057,0.353978978978979,0.4388138138138138,0.5345345345345345
27,along,0.0,0.13302752293577982,0.18807339449541285,0.22018348623853212,0.24770642201834864
28,watching,0.08094177064765301,0.2545610163257222,0.36239778739778733,0.3403439153439154,0.43310485810485805
29,and,0.0,0.03254437869822485,0.12130177514792899,0.13757396449704143,0.14644970414201183
30,between,0.003472222222222222,0.04398148148148148,0.0787037037037037,0.1148148148148148,0.13564814814814813
31,belonging to,0.0,0.0031847133757961785,0.05605095541401274,0.13091825902335458,0.21155595996360327
32,painted on,0.0,0.03017241379310345,0.0632183908045977,0.07183908045977011,0.17651888341543512
33,against,0.0,0.07258064516129033,0.08870967741935484,0.06451612903225806,0.10483870967741936
34,looking at,0.02543507362784471,0.10207496653279785,0.16566265060240964,0.24454962707974753,0.2600401606425703
35,from,0.0,0.028169014084507043,0.04225352112676056,0.014084507042253521,0.028169014084507043
36,parked on,0.0056179775280898875,0.6693820224719101,0.8134363295880149,0.8272003745318353,0.8409644194756554
37,to,0.0,0.18442622950819673,0.35860655737704916,0.4057377049180328,0.42213114754098363
38,made of,0.0,0.0625,0.125,0.09375,0.125
39,covered in,0.06547619047619047,0.3535714285714286,0.46309523809523817,0.4363095238095238,0.5047619047619047
40,mounted on,0.0,0.0,0.0,0.0,0.0
41,says,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
42,part of,0.0,0.0,0.0,0.0,0.012345679012345678
43,across,0.0,0.047619047619047616,0.15873015873015872,0.1111111111111111,0.09523809523809523
44,flying in,0.0,0.0,0.0,0.0,0.0
45,using,0.19166666666666665,0.2912878787878788,0.363030303030303,0.3781060606060606,0.40469696969696967
46,on back of,0.0,0.02127659574468085,0.07328605200945626,0.15130023640661938,0.1867612293144208
47,lying on,0.0,0.01391465677179963,0.02040816326530612,0.015769944341372914,0.032467532467532464
48,growing on,0.0,0.03304597701149425,0.05459770114942528,0.13793103448275862,0.10775862068965517
49,walking in,0.0,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761
